No.,Nama Proyek,Lokasi
31.,"Jalan Tol Serpong-Cinere (10,14km)",Provinsi Banten-Provinsi Jawa Barat
32.,"Jalan Tol Cinere-Jagorawi (14,64km)",Provinsi Jawa Barat
33.,"Jalan Tol Cimanggis-Cibitung (25,39km)",Provinsi Jawa Barat
34.,Jalan Tol Cibitung-Cilincing (34km),Provinsi Jawa Barat-Provinsi DKI Jakarta
35.,"Jalan Tol Depok-Antasari (21,54km)",Provinsi Jawa Barat
36.,"Jalan Tol Bekasi-Cawang-Kp. Melayu (21,04km)",Provinsi Jawa Barat-Provinsi DKI Jakarta
37.,Jalan Tol Bogor Ring Road (11km),Provinsi Jawa Barat
38.,Jalan Tol Serpong-Balaraja (30km),Provinsi Banten
39.,Jalan Tol Batu Ampar-Muka Kuning-Bandara Hang Nadim (25km),Provinsi Kepulauan Riau
40.,"Jalan Tol Semanan-Sunter 20,23 km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
41.,"Jalan Tol Sunter-Pulo Gebang 9,44km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
42.,"Jalan Tol Duri Pulo-Kampung Melayu 9,6km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
43.,"Jalan Tol Kemayoran-Kampung Melayu 9,6km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
44.,"Jalan Tol Ulujami-Tanah Abang 8,7km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
45.,"Jalan Tol Pasar Minggu-Casablanca 9,16 km (bagian dari 6 ruas tol DKI Jakarta)",DKI Jakarta
46.,Jalan Tol Sigli-Banda Aceh (75km),Aceh
47.,Jalan Tol Binjai-Langsa (110),"Aceh, Sumatera Utara"
48.,Jalan Tol Bukittinggi-Padang Panjang-Lubuk Alung-Padang (200km),Sumatera Barat
49.,Jalan Tol Rantau Prapat-Kisaran (100km),Sumatera Utara
50.,Jalan Tol Langsa-Lhokseumawe (135km),Aceh
51.,Jalan Tol Lhokseumawe-Sigli (135km),Aceh
52.,Jalan Tol Pekanbaru-Bangkinang-Payakumbuh-Bukittinggi (185km),"Sumatera Barat, Riau"
53.,Jalan Tol Tebing Tinggi-Pematang Siantar-Prapat-Tarutung-Sibolga (200km),Sumatera Utara
54.,Jalan Tol Betung (Sp. Sekayu)-Tempino-Jambi (191km),Jambi-Sumatera Selatan
55.,Jalan Tol Jambi-Rengat (190km),Jambi
56.,Jalan Tol Rengat-Pekanbaru (175km),Riau
57.,Jalan Tol Dumai-Sp. Sigambal-Rantau Prapat (175km),Riau-Sumatera Utara
58.,Jalan Tol Simpang Indralaya-Muara Enim (110km),Sumatera Selatan
59.,Jalan Tol Muara Enim-Lubuk Linggau-Lahat (125km),Sumatera Selatan
60.,Jalan Tol Lubuk Linggau-Curup-Bengkulu (95km),Sumatera Selatan-Bengkulu
61.,"Jalan Tol Pasuruan-Probolinggo (31,3km)", Jawa Timur
62.,"Jalan Tol Probolinggo-Banyuwangi (170,36km)", Jawa Timur
63.,Jalan Tol Krian-Legundi-Bunder-Manyan (39km), Jawa Timur
64.,"Jalan Tol Jakarta Cikampek II Sisi Selatan (36,4km)",DKI Jakarta-Jawa Barat
65.,Jalan Tol Jakarta-Cikampek II Elevated (64km), DKI Jakarta-Jawa Barat
66.,"Jalan Tol Yogyakarta-Solo (40,49km)", Jawa Tengah
67.," Jalan Tol Semarang-Demak (23,99km)", Jawa Tengah
68., Jalan Tol Sukabumi-Ciranjang-Padalarang (61km), Jawa Barat
69., Jalan Tol Yogyakarta-Bawen (71km), Yogyakarta
70.,Pembangunan Jalan Lingkar Trans Morotai,Provinsi Maluku Utara
71.,Jalan Palu-Parigi,Provinsi Sulawesi Tengah
72.,Pembangunan Fly Over dari dan Menuju Terminal Teluk Lamong,Provinsi Jawa Timur
73.,Jalan Penghubung Gorontalo-Manado,Provinsi Gorontalo-Provinsi Sulawesi Utara
74.,Jalan Trans Maluku (7 ruas),Provinsi Maluku
